LN_LEN,LN_AADT,designException,numIntersections,numInterchanges,numHorCurves,Thru_Lanes,Aux_Lanes,HC_MILE,INT_MILE,Freeway,Rural
2.529162741,5.592229989,0,9,0,38,2,1,3.029578251,0.717531691,0,1
0.954741918,7.81197343,0,3,0,4,2,1,1.539645881,1.154734411,0,1
1.193922468,7.664659425,0,3,0,5,2,1,1.515151515,0.909090909,0,1
2.774898553,8.201111644,0,6,0,30,2,0,1.870674066,0.374134813,0,1
1.332893584,7.853604813,0,9,0,5,2,0,1.318565401,2.373417722,0,1
-0.509160344,9.892763589,0,5,0,2,2,1,3.327787022,8.319467554,0,0
0.458057558,9.534956892,0,9,0,1,2,1,0.632511069,5.69259962,0,0
2.302585093,8.730421078,0,0,0,21,4,0,2.1,0,1,1
2.302585093,8.588598799,0,0,2,11,4,0,1.1,0.2,1,1
2.448415541,9.937942979,0,0,4,9,4,0,0.777873812,0.345721694,1,1
2.564949357,9.529513937,0,0,2,5,4,0,0.384615385,0.153846154,1,1
1.945910149,8.590133816,0,0,0,10,4,0,1.428571429,0,1,1
1.945910149,8.62755289,0,0,2,10,4,0,1.428571429,0.285714286,1,1
2.681021529,10.56368136,0,0,5,19,4,0,1.301369863,0.342465753,1,0
2.442520933,11.4353028,0,0,6,9,6,0,0.782472613,0.521648409,1,0
1.465567542,11.61442234,0,0,4,8,6,0,1.847575058,0.923787529,1,0
3.381946602,11.61190813,0,0,15,34,8,0,1.15536224,0.509718635,1,0
1.997417706,10.84094688,0,0,4,4,6,0,0.542740841,0.542740841,1,0
2.197224577,9.237573747,0,0,3,15,4,0,1.666666667,0.333333333,1,1
2.251291799,9.557563272,0,0,1,16,4,0,1.684210526,0.105263158,1,1
2.840247371,8.716481113,1,6,0,104,2,1,6.074766355,0.35046729,0,1
-0.94160854,8.765718549,1,1,0,0,2,1,0,2.564102564,0,1
2.088772869,8.878543854,1,0,2,5,4,0,0.619195046,0.247678019,1,1
1.220829921,10.13185742,1,0,2,2,4,0,0.589970501,0.589970501,1,1
-0.368169323,10.56267283,1,5,0,4,2,0,5.780346821,7.225433526,0,0
1.491779869,8.213020335,1,2,0,30,2,0,6.749156355,0.449943757,0,1
0.300104592,11.89435058,1,0,1,1,9,0,0.740740741,0.740740741,1,0
1.386294361,9.507477603,1,0,0,3,4,0,0.75,0,1,1
2.717538379,12.1478572,1,0,9,19,9,0,1.254705144,0.594334016,1,0
3.168340138,11.74841384,1,0,14,14,9,0,0.589027264,0.589027264,1,0
2.255493485,7.239693443,1,10,0,31,2,0,3.249475891,1.048218029,0,1
0.702602339,11.4792894,1,0,2,1,8,0,0.4952947,0.990589401,1,0
